collectionId,name,summary,createdAt,recopilationId,departmentId,categoryId
12,Evento de música,Realizado para la música prueba,2024-06-22,1,71,7
11,Ayuda economica,Para los estudiantes de ayuda económica,2024-06-22,1,71,7
8,Recoger Fondos,Realizado para recoger fondos,2024-06-22,1,71,7
14,Evento de informática,En esta colección se coloca información del evento realizado en lab. Moviles el día 27/6/24,2024-06-27,1,71,7
15,coleccion de informacion de prueba de eduardo,información relevante a las canchas de la universidad,2024-06-29,5,54,9
16,coleccion de informacion de prueba de eduardo,información relevante a las canchas de la universidad,2024-06-29,5,55,9
17,Coleccion de información de prueba,es solo una prueba para ver si esta todo bien ,2024-06-30,1,71,7
18,nueva colección,resumen de la colección,2024-07-01,5,55,9
19,nueva colección otra vez,resumen de la colección nueva,2024-07-01,5,50,9
21,una prueba de,una prueba de para saber si sirve,2024-07-02,21,71,7
22,CANCHA DE USOS MULTIPLES,PROBLEMAS RELACIONADOS CON LA CANCHA DE USOS MULTIPLES,2024-07-02,5,54,9
23,Una prueba de colección,esro es una prueba de como hacer ,2024-07-04,23,71,14
